frame, gt_idx, det_idx,  IoU, JIoU(gt_unc&det_unc), JIoU(gt_unc&gt), JIoU(gt_unc&det), JIoU ratio
003622,     9,      8,  0.85,   0.25,     0.22,     0.21,     1.14
003629,     1,      0,  0.56,   0.48,     0.52,     0.40,     0.91
003630,     1,      0,  0.82,   0.68,     0.63,     0.60,     1.08
003633,     9,      8,  0.84,   0.73,     0.66,     0.66,     1.10
003647,     4,      5,  0.91,   0.73,     0.64,     0.62,     1.14
003652,     5,      4,  0.94,   0.49,     0.45,     0.45,     1.08
003652,     6,      5,  0.84,   0.62,     0.58,     0.57,     1.07
003652,     7,      7,  0.89,   0.44,     0.39,     0.39,     1.13
003653,     7,      6,  0.76,   0.52,     0.49,     0.50,     1.06
003653,     9,      8,  0.58,   0.57,     0.54,     0.50,     1.06
003659,     0,      6,  0.91,   0.31,     0.29,     0.28,     1.09
003661,     7,      7,  0.83,   0.50,     0.47,     0.44,     1.08
003661,     9,     10,  0.69,   0.72,     0.61,     0.59,     1.18
003668,     4,      1,  0.82,   0.64,     0.59,     0.56,     1.07
003669,     3,     -1,  0.00,   0.00,     0.35,     0.00,     0.00
003676,     7,      5,  0.84,   0.67,     0.63,     0.63,     1.05
003676,     9,      9,  0.82,   0.70,     0.64,     0.63,     1.10
003677,     6,      3,  0.87,   0.39,     0.37,     0.34,     1.07
003679,     0,      1,  0.65,   0.26,     0.22,     0.22,     1.19
003684,     5,      3,  0.89,   0.70,     0.66,     0.65,     1.07
003684,     6,      6,  0.89,   0.72,     0.66,     0.65,     1.09
003689,     0,     -1,  0.00,   0.00,     0.24,     0.00,     0.00
003690,     3,      5,  0.82,   0.72,     0.69,     0.64,     1.04
003691,     7,      6,  0.83,   0.64,     0.55,     0.56,     1.17
003707,     0,      0,  0.73,   0.57,     0.51,     0.46,     1.10
003708,     5,      7,  0.74,   0.52,     0.52,     0.41,     1.00
003708,     6,      8,  0.55,   0.52,     0.54,     0.43,     0.96
003712,     1,      1,  0.84,   0.44,     0.40,     0.40,     1.11
003715,     5,     -1,  0.00,   0.00,     0.33,     0.00,     0.00
003715,     6,     -1,  0.00,   0.00,     0.32,     0.00,     0.00
003719,     6,      5,  0.94,   0.74,     0.69,     0.69,     1.07
003719,     7,      7,  0.93,   0.74,     0.69,     0.69,     1.07
003726,     2,      0,  0.89,   0.76,     0.67,     0.66,     1.13
003735,     3,     -1,  0.00,   0.00,     0.64,     0.00,     0.00
003735,     6,      3,  0.70,   0.67,     0.63,     0.60,     1.06
003747,     0,      1,  0.80,   0.61,     0.60,     0.56,     1.02
003778,     4,      4,  0.88,   0.69,     0.65,     0.64,     1.07
003779,     7,     12,  0.02,   0.50,     0.65,     0.01,     0.77
003779,     8,      6,  0.87,   0.77,     0.66,     0.65,     1.17
